Track ID,Track name,Artist name,Popularity score,Release year,Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
6ea2h0fftulhGhWEODoU2V,"""Roses""",Jaden,59,2024,New Releases,0.44,0.558,8,-8.954,1,0.108,0.149,0.0411,0.114,0.416,82.026,4
1s7Q8aDLaireoASKNEeJ1T,"See You Again (From ""Fast & Furious 7"")",The New Releases,6,2016,New Releases,0.564,0.485,10,-9.328,1,0.11,0.337,0.0,0.107,0.328,159.774,4
7rOk84mV0kJ0H9wsBDDDUY,Change Your Mind,Knox,55,2024,New Releases,0.624,0.749,1,-5.108,1,0.0449,0.183,0.0,0.184,0.643,99.998,4
6EsVEPkRiIkcFsELZ0239q,ดีอย่างไร,T Jetset’er,27,2009,New Releases,0.688,0.524,1,-10.333,1,0.0275,0.568,0.0,0.174,0.752,102.024,4
3nQGmb3jjF4OWQIymxx8c2,Worldwide Revival,Newsboys,50,2024,New Releases,0.563,0.889,0,-3.92,1,0.0358,0.0103,0.0,0.0791,0.503,139.099,4
5SHu8JyS4YJFNVJ6MGaTja,1 2 3 4 5 I love you,The Bottom Blues,36,2010,New Releases,0.738,0.744,11,-6.139,0,0.0374,0.0699,0.0,0.0909,0.967,117.97,4
5x4JxwFNs0f897CvwPjEZb,New Direction,Solitudes,54,2024,New Releases,0.188,0.0333,5,-29.473,1,0.0436,0.916,0.845,0.11,0.0995,77.04,3
4fpwYavktFK31XJXEvpbs5,Kompa MMS,Richie and Gracia Delva,4,2012,New Releases,0.785,0.704,7,-10.259,1,0.0762,0.34,0.0,0.101,0.662,98.023,4
67NdAOAn0EzvyrMYduzzZm,REBEL,Anne Wilson,49,2024,New Releases,0.393,0.818,1,-5.776,0,0.0752,0.00709,0.0,0.274,0.371,198.133,4
5pxlpLk7laSwucCCBBCvhT,Zanmi,Nickenson Prud'Homme,2,2012,New Releases,0.689,0.638,3,-11.848,1,0.0422,0.809,0.000246,0.15,0.92,167.98,4
6VDuCryADxIMCNLCfyovtO,Yellow - Spotify Singles,jxdn,51,2024,New Releases,0.398,0.703,11,-6.855,1,0.0325,0.00131,0.000818,0.1,0.252,173.021,4
1rRSQIfUx5FX8eOvP7eRT4,Popular New Releases,New Releases,3,2023,New Releases,0.79,0.229,11,-11.231,1,0.0784,0.62,0.882,0.296,0.361,143.625,4
1ChWLfZppNHE101YA0QFgT,Rise Up,Selah,45,2024,New Releases,0.609,0.723,0,-6.888,1,0.054,0.151,0.0,0.151,0.485,169.966,4
0Bfi8JHZTfe5p6HYrk2nso,2023 New Music,New Releases,3,2023,New Releases,0.725,0.53,4,-13.651,0,0.176,0.399,0.068,0.311,0.601,76.612,4
61UHYLpt5koa0wHhw3n6Uz,Hold On,Kygo,56,2024,New Releases,0.696,0.838,5,-9.882,1,0.0413,0.464,0.609,0.0904,0.138,120.029,4
2ncR5x1L3TNLsRLzRYwbi7,New Music Albums,New Releases,2,2023,New Releases,0.62,0.559,7,-4.848,1,0.0508,0.625,0.944,0.209,0.667,74.692,4
1y6Kt9mAwfhclMQwpPEPCL,Active,Bryce Savage,49,2024,New Releases,0.808,0.692,8,-6.363,1,0.0836,0.193,0.0,0.117,0.679,145.073,4
2DyiJ6khVHSeuaCrb2Z9oQ,Toys - Radio Mix,Giuseppe Ottaviani,11,2012,New Releases,0.594,0.716,9,-7.602,0,0.0269,1.67e-05,0.0296,0.477,0.463,129.972,4
0ohSJgHGItbcNmirqBGdHM,New Devil,Attila,49,2024,New Releases,0.531,0.979,1,-3.065,0,0.129,0.000166,0.84,0.223,0.168,115.022,4
