Track ID,Track name,Artist name,Popularity score,Release year,Genre
2YVlDlk2zRceefo6XlC6DX,Ain’t That Some,Morgan Wallen,79,2023,Country
3sYBFUXTv0STUoUINx9Qe8,Watermelon Moonshine,Lainey Wilson,74,2022,Country
24MH7MzHl5XAYlmMdn85CF,Country Boy Do (feat. Tyler Hubbard),Nelly,56,2021,Country
6nNuWzPSGPZxgvQSNj9PfQ,Country,Racoma,58,2018,Country
3Gf5nttwcX9aaSQXRWidEZ,Ride Wit Me,Nelly,75,2000,Country
1tRxwf8Q0AcshfHuaD86Yt,Country On,Luke Bryan,53,2022,Country
0nYcGSvV1ogjco3lRp2Eqy,Country,Adam Calhoun,42,2018,Country
5DIBVDJOHh7djepAjKHWCO,Heart Like A Truck,Lainey Wilson,72,2022,Country
2HoDr1yVksl19omOhc1zWy,Hip-Hop,Dead Prez,58,2000,Hip-Hop
1SyQ6t9RdRBK0QUCS6a797,Hip Hop Hooray,Naughty By Nature,67,1993,Hip-Hop
23FMZRrUJKHdtXuxDAuhRA,Hip-Hop,Freddy Rugga,22,2016,Hip-Hop
3amKj48hT2lYv4uzoLtBov,I Hate Hip-Hop,Tom MacDonald,46,2019,Hip-Hop
0VUpkue1T9WZF2LtUqJbDY,Hip Hop Police - Main,Chamillionaire,35,2007,Hip-Hop
1rESBfVFxLR7wIQjUIQ0KH,Hip-Hop,Dead Prez,22,2019,Hip-Hop
664CNrDUtxSBC5MK8PV4DW,Hip-Hop Alphabet,Pinkfong,13,2024,Hip-Hop
3xI2BX87nRys1ENw1Zl0El,Hip Hop,DJ Khaled,34,2012,Hip-Hop
10TGbnysIWaAtFRnQlagSB,Hip-Hop,PaceWon & Mr. Green,25,2008,Hip-Hop
4gQdwwPXSXnDkUh4jYqLoC,Hip Hop,Mos Def,53,1999,Hip-Hop
1MwHEpWiVlazUIlw9k8KAd,Hip Hop Calligraphy,Aka Saint Dior,25,2024,Hip-Hop
0iULSLlbdVMvBs4HzIaLi9,Hip-Hop,"Royce Da 5'9""",17,2022,Hip-Hop
6N3oYlfZ2RPdjMYdHCRmFS,Hip-Hop Saved My Life (feat. Nikki Jean),Lupe Fiasco,47,2007,Hip-Hop
55WwvU3TsXYXaOisjxwJYT,Hip Hop,August Alsina,30,2015,Hip-Hop
1rS5cQSjEShHUnfyH3vg99,Hip-Hop,PaceWon & Mr. Green,20,2008,Hip-Hop
3aSZe61cG5tU7BzdJxKBvz,Rapper's Delight,The Sugarhill Gang,46,2023,Hip-Hop
1UCVgSDDlH4vJ0jI4txWXP,Hip Hop,Static-X,29,2000,Hip-Hop
6sSfIRmWvVt1XXH36n7xGA,Hip-Hop,Left Lane Cruiser,11,2011,Hip-Hop
13xKh7WqwxzEFYhYCJJwHg,Lovergirl,Teena Marie,45,1999,Hip-Hop
6mnRrGbwpoDyIgKyCIJjVY,HIP HOP CON100CIA #38 - PADRE,Al2 El Aldeano,36,2024,Hip-Hop
0smlHMLEGRzaubtkKb7BfG,Hip-Hop,Itzo Hazarta,23,2019,Hip-Hop
6EuhBJTydNXXtqBQ32lag5,Hip Hop - Mashup,Trinix Remix,45,2022,Hip-Hop
3DWNDkaAYirlwXwVExarTt,"Hip, Hip Hoo-Raisin",Parry Gripp,28,2013,Hip-Hop
5pMiXZF5e7TbPIl5qgKk4h,Hip-Hop,Boombox,21,2006,Hip-Hop
4c9XojqJDu7KNCh8GmNbj5,Hip Hop Phile,BTS,54,2014,Hip-Hop
1VpaGT3qRCT4jaqYw7o9IH,Hip-Hop - Radio Version,Dead Prez,25,2000,Hip-Hop
0v9N9RFWQLhsZ0Uo1tD1Ip,Hip-Hop,Cognito,3,2010,Hip-Hop
5ta1Kqgslpxdy7oUJCN7dH,Pistol Grip Pump,Volume 10,37,1994,Hip-Hop
6o1bS8eEeORcmrtMsJr9jZ,Following Directions With Exercise,Mark D. Pencil,26,2006,Hip-Hop
6MUtaEeMJ9K2y1KsFuOI2Q,Hip-Hop,Ryze Hendricks,2,2022,Hip-Hop
3cFT8G5sU4ind7VmAPsV5d,Hippa to da Hoppa,Ol' Dirty Bastard,45,1995,Hip-Hop
55wSByJOPkzsUKuRe2d1WA,Hip Hop All Star,JARS On The Beats,22,2023,Hip-Hop
1fUM4D1TLFpsNgjuWLHb2u,Hip-Hop,X-Boxin,4,2019,Hip-Hop
6XA7U5MDnoaw7TFcfh4Ns3,More Than Abstract Hip-Hop,Degiheugi,49,2012,Hip-Hop
0JPzG00AY7hNVu8sauadAu,Hip Hop Police,Chamillionaire,32,2007,Hip-Hop
2jh8ESkNJqSnhub71qDEuW,Hip-Hop,Boombox,13,2010,Hip-Hop
1dxdkuH02cGujiwuysrY1t,Hip-Hop Sunshine,Dynasty phay,28,2024,Hip-Hop
7yIUQW4kutkoxSWKjU7OPK,Hip Hop Soldier,Sir Mix-A-Lot,19,1988,Hip-Hop
6m1mXVuMj6qy8JbttYCgpk,Hip-Hop,La Etnnia,11,2004,Hip-Hop
7iF9B5dbSOfEeznArGFHhn,Hip Hop Is Dead,Nas,38,2006,Hip-Hop
204FxPIguRWJs264WXedmK,Hip-Hop,Rúzsa Magdi,24,2006,Hip-Hop
2dKxXi4c1Y8sbcxavCbkfb,I Wonder If Heaven Got A Ghetto - Hip-Hop Version,2Pac,40,1997,Hip-Hop
0KKak2uOqqGsdUxfc82lKH,Hip Hoop Lounge Jazz Room - Instrumental,Freidbeat,19,2023,Hip-Hop
2foueoG8k9LXMDd0n0BY47,Hip-Hop,Nochang,4,2015,Hip-Hop
4TY4VeLpmiNY9otITGA8sn,"Beamer, Benz, Or Bentley",Lloyd Banks,49,2020,Hip-Hop
3bPJm6ppmouTlrJslOxrY0,Cashin' Out,Ca$h Out,24,2019,Hip-Hop
7kSl9dosaFeJ0H9aj0Nryd,Hip-Hop,Sinned,0,2023,Hip-Hop
2FFz1zUZ0oWpW2r8trtjNU,They Want EFX,Das EFX,37,2019,Hip-Hop
2sEKgKt7N4d7fPetASON80,Hip Hop,Meek Mill,24,2013,Hip-Hop
4lveiZCz8PsP9R4gnKuNDN,Hip-Hop,Big Russian Boss,5,2020,Hip-Hop
3xvzR05d6KgexfzjJgDRDl,Pop like this Pt. 2 - Slowed,prodbycpkshawn,72,2024,Pop
1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,Pop Smoke,77,2020,Pop
2Ct0MnmqHDvjLqpi5gxcSM,Pop like this Pt. 2,prodbycpkshawn,70,2024,Pop
79s5XnCN4TJKTVMSmOx8Ep,Dior,Pop Smoke,77,2019,Pop
4bt3S3Tqh5pvs33y9RlF8J,Pop like this Pt. 2 - Slowed,prodbycpkshawn,43,2024,Pop
3BK2xMtTKhkUlc4QIr6QY1,Pink Skies,Zach Bryan,0,2024,Pop
0umAduzH6cuIMorxfeGtUN,Pop like this Pt. 2 - Sped Up,prodbycpkshawn,59,2024,Pop
4GssB27iJeqmfGxS94Tfij,Popular Monster,Falling In Reverse,74,2019,Pop
6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,85,2023,Pop
6HZ9VeI5IRFCNQLXhpF4bq,I Love It (feat. Charli XCX),Icona Pop,72,2013,Pop
